# id,category
cifar100/img/test/volcano_s_000012.png,spider
cifar100/img/test/woods_s_000412.png,wolf
cifar100/img/test/seal_s_001803.png,spider
cifar100/img/test/mushroom_s_001755.png,otter
cifar100/img/test/adriatic_sea_s_000653.png,sea
cifar100/img/test/tulipa_clusiana_s_000175.png,shrew
cifar100/img/test/camel_s_001052.png,cattle
cifar100/img/test/mourning_cloak_s_000143.png,beaver
cifar100/img/test/cirrostratus_s_000223.png,sea
cifar100/img/test/eating_apple_s_000763.png,sweet_pepper
cifar100/img/test/adriatic_s_000380.png,clock
cifar100/img/test/skunk_s_001175.png,skunk
cifar100/img/test/streetcar_s_000382.png,streetcar
cifar100/img/test/sounding_rocket_s_000010.png,rocket
cifar100/img/test/lamp_s_001350.png,lamp
cifar100/img/test/king_of_beasts_s_001221.png,lion
cifar100/img/test/tulipa_clusiana_s_000186.png,orchid
cifar100/img/test/timber_wolf_s_000622.png,elephant
cifar100/img/test/rose_s_002192.png,orchid
cifar100/img/test/valencia_orange_s_001542.png,tulip
cifar100/img/test/mountain_rose_s_000209.png,plate
cifar100/img/test/mount_s_002678.png,crab
cifar100/img/test/striped_skunk_s_001304.png,skunk
cifar100/img/test/dinosaur_s_000326.png,willow_tree
cifar100/img/test/chimpanzee_s_000134.png,chimpanzee
cifar100/img/test/oilcan_s_000656.png,wardrobe
cifar100/img/test/keyboard_s_001529.png,keyboard
cifar100/img/test/safety_bike_s_000390.png,bicycle
cifar100/img/test/bike_s_000658.png,man
cifar100/img/test/rose_s_000120.png,man
cifar100/img/test/chaise_s_001826.png,chair
cifar100/img/test/fishplate_s_000669.png,clock
cifar100/img/test/motor_mower_s_000528.png,lawn_mower
cifar100/img/test/sea_turtle_s_000882.png,shark
cifar100/img/test/elaeis_guineensis_s_000412.png,palm_tree
cifar100/img/test/mackerel_shark_s_001042.png,possum
cifar100/img/test/pickup_truck_s_002755.png,pickup_truck
cifar100/img/test/boy_s_001524.png,bee
cifar100/img/test/sofa_s_000044.png,couch
cifar100/img/test/house_s_000626.png,house
cifar100/img/test/hedgehog_s_001874.png,raccoon
cifar100/img/test/oriental_cockroach_s_000209.png,bear
cifar100/img/test/alp_s_002713.png,mountain
cifar100/img/test/shark_s_000617.png,dolphin
cifar100/img/test/palm_tree_s_000736.png,palm_tree
cifar100/img/test/clock_s_001335.png,clock
cifar100/img/test/lawn_mower_s_001124.png,couch
cifar100/img/test/pickup_s_000322.png,pickup_truck
cifar100/img/test/striped_skunk_s_001190.png,bear
cifar100/img/test/palace_s_001402.png,bottle
cifar100/img/test/beaver_s_001091.png,otter
cifar100/img/test/honeybee_s_001239.png,dinosaur
cifar100/img/test/soda_bottle_s_001358.png,beetle
cifar100/img/test/pear_s_001406.png,pear
cifar100/img/test/baby_s_000125.png,kangaroo
cifar100/img/test/halibut_s_000725.png,flatfish
cifar100/img/test/adriatic_sea_s_000963.png,sea
cifar100/img/test/quercus_falcata_s_000284.png,oak_tree
cifar100/img/test/leopard_s_000307.png,leopard
cifar100/img/test/exocet_s_000376.png,dolphin
cifar100/img/test/garden_snail_s_000845.png,table
cifar100/img/test/african_crocodile_s_000958.png,spider
cifar100/img/test/camel_s_001703.png,willow_tree
cifar100/img/test/lapin_s_002009.png,forest
cifar100/img/test/ladybug_s_000652.png,tulip
cifar100/img/test/girl_s_000680.png,forest
cifar100/img/test/lion_s_002289.png,fox
cifar100/img/test/sunflower_s_000716.png,lobster
cifar100/img/test/hedgehog_s_000850.png,porcupine
cifar100/img/test/tulip_s_000383.png,bottle
cifar100/img/test/raccoon_s_001636.png,skunk
cifar100/img/test/freight_train_s_000009.png,lobster
cifar100/img/test/stingray_s_000143.png,seal
cifar100/img/test/trout_s_001398.png,shrew
cifar100/img/test/flounder_s_001615.png,turtle
cifar100/img/test/plaice_s_000273.png,bottle
cifar100/img/test/sunflower_s_001554.png,sunflower
cifar100/img/test/fishbowl_s_001084.png,bowl
cifar100/img/test/snail_s_000947.png,mushroom
cifar100/img/test/clock_s_000702.png,plate
cifar100/img/test/adriatic_sea_s_002039.png,sea
cifar100/img/test/hognose_snake_s_001251.png,camel
cifar100/img/test/orchid_s_000153.png,orchid
cifar100/img/test/carpenter_bee_s_000014.png,bee
cifar100/img/test/ornithischian_s_000329.png,dinosaur
cifar100/img/test/dozer_s_001228.png,tractor
cifar100/img/test/hognose_snake_s_000154.png,lamp
cifar100/img/test/wood_s_002304.png,ray
cifar100/img/test/male_child_s_000584.png,couch
cifar100/img/test/eagle_ray_s_000146.png,dolphin
cifar100/img/test/alarm_clock_s_000069.png,wolf
cifar100/img/test/caterpillar_s_000686.png,caterpillar
cifar100/img/test/crocodile_s_002336.png,turtle
cifar100/img/test/chimp_s_000642.png,chimpanzee
cifar100/img/test/school_bus_s_000727.png,bus
cifar100/img/test/chimpanzee_s_000204.png,bear
cifar100/img/test/field_mouse_s_000251.png,hamster
cifar100/img/test/manual2-skunk03.png,beetle
cifar100/img/test/house_s_001092.png,house
cifar100/img/test/tomboy_s_000708.png,dinosaur
cifar100/img/test/stone_crab_s_000874.png,dinosaur
cifar100/img/test/bell_pepper_s_001278.png,orange
cifar100/img/test/maple_s_001869.png,castle
cifar100/img/test/rorqual_s_000354.png,telephone
cifar100/img/test/panthera_leo_s_000817.png,lion
cifar100/img/test/research_rocket_s_001220.png,rocket
cifar100/img/test/skyscraper_s_001520.png,skyscraper
cifar100/img/test/castle_s_000360.png,castle
cifar100/img/test/pear_s_001257.png,sweet_pepper
cifar100/img/test/pine_tree_s_000818.png,pine_tree
cifar100/img/test/sofa_s_000683.png,bridge
cifar100/img/test/reclining_chair_s_000160.png,couch
cifar100/img/test/crocodile_s_001502.png,ray
cifar100/img/test/eating_apple_s_001302.png,pear
cifar100/img/test/ketchup_bottle_s_000243.png,bottle
cifar100/img/test/adriatic_s_001809.png,sea
cifar100/img/test/velocipede_s_001744.png,chair
cifar100/img/test/lion_s_001290.png,lion
cifar100/img/test/pear_s_001281.png,table
cifar100/img/test/palm_tree_s_000823.png,palm_tree
cifar100/img/test/armoured_combat_vehicle_s_000691.png,tank
cifar100/img/test/bowl_s_000176.png,baby
cifar100/img/test/cattle_s_002291.png,cattle
cifar100/img/test/tulip_s_001881.png,tulip
cifar100/img/test/forest_s_001027.png,forest
cifar100/img/test/wing_chair_s_000342.png,chair
cifar100/img/test/chimpanzee_s_001984.png,chimpanzee
cifar100/img/test/harvest_mouse_s_001234.png,raccoon
cifar100/img/test/rose_s_000160.png,poppy
cifar100/img/test/cain_s_000454.png,man
cifar100/img/test/male_child_s_000373.png,otter
cifar100/img/test/soda_can_s_000750.png,can
cifar100/img/test/cichlid_s_000424.png,flatfish
cifar100/img/test/sorex_araneus_s_000138.png,boy
cifar100/img/test/woods_s_000374.png,otter
cifar100/img/test/sea_trout_s_000474.png,trout
cifar100/img/test/serengeti_s_000599.png,mountain
cifar100/img/test/possum_s_001358.png,kangaroo
cifar100/img/test/quercus_robur_s_000149.png,oak_tree
cifar100/img/test/cirrostratus_s_000556.png,cloud
cifar100/img/test/castor_canadensis_s_001395.png,shrew
cifar100/img/test/male_child_s_001121.png,boy
cifar100/img/test/quercus_cerris_s_000351.png,oak_tree
cifar100/img/test/boardinghouse_s_000024.png,dinosaur
cifar100/img/test/roach_s_001120.png,cockroach
cifar100/img/test/rorqual_s_001307.png,whale
cifar100/img/test/sofa_s_000781.png,telephone
cifar100/img/test/computer_keyboard_s_001507.png,keyboard
cifar100/img/test/mushroom_s_002495.png,trout
cifar100/img/test/pickup_truck_s_000205.png,pickup_truck
cifar100/img/test/pickup_truck_s_001896.png,sweet_pepper
cifar100/img/test/garden_snail_s_000128.png,tiger
cifar100/img/test/tussock_caterpillar_s_000265.png,dolphin
cifar100/img/test/pine_tree_s_002040.png,mountain
cifar100/img/test/lobster_s_001268.png,sweet_pepper
cifar100/img/test/raccoon_s_000589.png,crocodile
cifar100/img/test/pickup_truck_s_001184.png,bus
cifar100/img/test/armchair_s_000439.png,chair
cifar100/img/test/cockroach_s_001558.png,snail
cifar100/img/test/castor_canadensis_s_001249.png,leopard
cifar100/img/test/golden_hamster_s_000328.png,hamster
cifar100/img/test/bike_s_000643.png,tractor
cifar100/img/test/television_s_003061.png,turtle
cifar100/img/test/bowl_s_001057.png,bowl
cifar100/img/test/atlantic_bottlenose_dolphin_s_000061.png,turtle
cifar100/img/test/maple_s_001576.png,pine_tree
cifar100/img/test/orchid_s_001268.png,orchid
cifar100/img/test/nemertean_s_000203.png,aquarium_fish
cifar100/img/test/verpa_s_000547.png,snail
cifar100/img/test/sweet_pepper_s_000751.png,sweet_pepper
cifar100/img/test/bottle_s_001387.png,bottle
cifar100/img/test/house_s_000438.png,woman
cifar100/img/test/beaver_s_000115.png,dinosaur
cifar100/img/test/bell_pepper_s_001198.png,can
cifar100/img/test/whale_s_000277.png,whale
cifar100/img/test/bell_pepper_s_001373.png,bottle
cifar100/img/test/flounder_s_000557.png,shrew
cifar100/img/test/mako_shark_s_000236.png,shark
cifar100/img/test/tussock_caterpillar_s_000048.png,caterpillar
cifar100/img/test/lamp_s_000541.png,lamp
cifar100/img/test/computer_keyboard_s_002098.png,forest
